 name,group,price,country,region,url,тип предложения,марка,модель,регистрация,состояние,автор объявления,год выпуска,руль,количество мест,тип кузова,количество дверей,пробег,об. двигателя (см³),мощность (л.с.),тип топлива,кпп,привод,цвет,
 -SCars- ,  Легковые автомобили  , 23 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605199,продам,mercedes,s класс,республика молдова,новый,автодилер,2011,левый,5,седан,,212 000   км,3 000   см³,,дизель,автоматическая,задний,,
 TopAuto ,  Легковые автомобили  , 2 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/78843730,продам,renault,clio symbol,республика молдова,с пробегом,автодилер,2009,левый,5,седан,4,278 000   км,1 200   см³,,бензин,механическая,передний,бежевый,
 TopAuto ,  Легковые автомобили  , 5 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/80997962,продам,bmw,3 series,республика молдова,с пробегом,автодилер,2004,левый,5,седан,4,260 000   км,2 000   см³,,бензин,механическая,задний,серебряный,
 alexciornii17 ,  Легковые автомобили  , 15 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/81489117,продам,renault,kadjar,республика молдова,с пробегом,частное лицо,2017,левый,5,кроссовер,4,154 580   км,1 500   см³,110,дизель,автоматическая,передний,черный,
 caddy2006 ,  Легковые автомобили  , 4 950 ,Молдова,  Бельцы мун.,https://999.md/ru/81423389,продам,volkswagen,caddy,республика молдова,с пробегом,частное лицо,2006,левый,7,фургон,,270 000   км,1 400   см³,,бензин,механическая,передний,,
 BOSBOS92 ,  Легковые автомобили  , 8 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/81514322,продам,bmw,3 series,республика молдова,с пробегом,автодилер,2007,левый,5,седан,5,269 125   км,2 000   см³,,дизель,автоматическая,задний,серый,
 78104444 ,  Легковые автомобили  , 3 850 ,Молдова,  Кишинёв мун.,https://999.md/ru/81534735,продам,dacia,logan mcv,республика молдова,с пробегом,частное лицо,2009,левый,5,универсал,4,245 000   км,1 400   см³,,бензин,механическая,передний,,
 ddo ,  Легковые автомобили  , 29 500 ,Молдова,  Кишинёв мун.,https://999.md/ru/80968472,продам,bmw,5 series,республика молдова,с пробегом,частное лицо,2017,левый,5,седан,5,11   км,2 000   см³,,дизель,автоматическая,4х4,черный,
 nikbmw ,  Легковые автомобили  , 18 700 ,Молдова,  Бельцы мун.,https://999.md/ru/79665731,продам,bmw,x3,республика молдова,с пробегом,частное лицо,2012,левый,5,кроссовер,4,202 000   км,2 000   см³,184,дизель,автоматическая,4х4,черный,
 BOSBOS92 ,  Легковые автомобили  , 6 600 ,Молдова,  Кишинёв мун.,https://999.md/ru/78898422,продам,mercedes,vito,республика молдова,с пробегом,автодилер,2004,левый,6,микровэн,5,275 000   км,2 200   см³,,дизель,механическая,задний,белый,
 MMM353 ,  Легковые автомобили  , 58 900 ,Молдова,  Кишинёв мун.,https://999.md/ru/77575670,продам,audi,q7,республика молдова,с пробегом,частное лицо,2018,левый,7,кроссовер,4,114 000   км,3 000   см³,286,дизель,автоматическая,4х4,серый,
 Denis39 ,  Легковые автомобили  , 8 600 ,Молдова,  Кишинёв мун.,https://999.md/ru/81518869,продам,skoda,octavia,республика молдова,с пробегом,частное лицо,2013,левый,5,универсал,5,148 000   км,1 400   см³,122,бензин,механическая,передний,серебряный,
 otgon844 ,  Легковые автомобили  , 950 ,Молдова,  Кишинёв мун.,https://999.md/ru/81605190,продам,mazda,xedos,республика молдова,с пробегом,частное лицо,1992,левый,4,седан,4,350 000   км,2 000   см³,,бензин,механическая,передний,синий,
 autorun21 ,  Легковые автомобили  , 13 800 ,Молдова,  Кишинёв мун.,https://999.md/ru/81511759,продам,mitsubishi,pajero sport,республика молдова,с пробегом,частное лицо,2013,левый,5,кроссовер,,328 000   км,2 500   см³,,дизель,автоматическая,4х4,,
 Maikal19 ,  Легковые автомобили  , 2 499 ,Молдова,  Кишинёв мун.,https://999.md/ru/81576572,продам,dacia,logan,республика молдова,с пробегом,частное лицо,2009,левый,5,седан,4,1 111   км,1 400   см³,,газ / бензин (пропан),механическая,передний,,
 coscar ,  Легковые автомобили  , 12 250 ,Молдова,  Бельцы мун.,https://999.md/ru/81421774,продам,nissan,qashqai,республика молдова,с пробегом,частное лицо,2014,левый,5,кроссовер,,165 000   км,1 500   см³,,дизель,механическая,передний,белый,
 sertum ,  Легковые автомобили  , 3 000 ,Молдова,  Кишинёв мун.,https://999.md/ru/80962783,продам,volkswagen,golf,республика молдова,с пробегом,частное лицо,1993,левый,5,хетчбэк,5,320 000   км,2 000   см³,150,бензин,механическая,передний,белый,
 sef123 ,  Легковые автомобили  , 29 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/77696800,куплю,mercedes,c класс,республика молдова,,,,,5,,,,,,,,,,
 nicolai57 ,  Легковые автомобили  , 18 300 ,Молдова,  Кишинёв мун.,https://999.md/ru/80747865,продам,peugeot,3008,республика молдова,с пробегом,частное лицо,2018,левый,5,кроссовер,5,147 500   км,1 500   см³,130,дизель,автоматическая,передний,синий,
 ilsaia ,  Легковые автомобили  , 1 790 ,Молдова,  Кишинёв мун.,https://999.md/ru/81434513,продам,mercedes,c класс,другое,с пробегом,частное лицо,2003,левый,5,седан,5,296 786   км,2 400   см³,,бензин,автоматическая,4х4,серебряный,
 ilsaia ,  Легковые автомобили  , 1 950 ,Молдова,  Кишинёв мун.,https://999.md/ru/81570296,продам,opel,combo,республика молдова,с пробегом,частное лицо,2008,левый,5,микровэн,3,243 545   км,1 300   см³,,дизель,механическая,передний,черный,
 lux099 ,  Легковые автомобили  , 10 650 ,Молдова,  Кишинёв мун.,https://999.md/ru/81573572,продам,toyota,auris,республика молдова,с пробегом,частное лицо,2017,левый,5,хетчбэк,5,171 000   км,1 400   см³,,дизель,механическая,передний,белый,
 nikos01 ,  Легковые автомобили  , 11 999 ,Молдова,  Кишинёв мун.,https://999.md/ru/80055203,продам,renault,megane,республика молдова,с пробегом,частное лицо,2020,левый,5,седан,4,14 000   км,1 300   см³,,бензин,механическая,передний,белый,
